17.886;5631.732;-17.347
17.986;5657.189;-17.21
18.086;5682.474;-17.094
18.186;5707.589;-16.97
18.286;5732.534;-16.859
18.386;5757.31;-16.733
18.486;5781.919;-16.598
18.586;5806.361;-16.451
18.686;5830.64;-16.364
18.786;5854.754;-16.263
18.886;5878.706;-16.184
18.986;5902.496;-16.084
19.086;5926.126;-15.962
19.186;5949.596;-15.859
19.286;5972.907;-15.739
19.386;5996.061;-15.638
19.486;6019.058;-15.559
19.586;6041.9;-15.473
19.686;6064.587;-15.381
19.786;6087.12;-15.283
19.886;6109.501;-15.171
19.986;6131.729;-15.077
20.086;6153.807;-15.003
20.186;6175.735;-14.938
20.286;6197.514;-14.849
20.386;6219.144;-14.771
20.486;6240.627;-14.678
20.586;6261.962;-14.58
20.686;6283.152;-14.508
20.786;6304.197;-14.431
20.886;6325.098;-14.349
20.986;6345.855;-14.261
21.086;6366.469;-14.187
21.186;6386.941;-14.128
21.286;6407.273;-14.068
21.386;6427.463;-14.008
21.486;6447.514;-13.953
21.586;6467.425;-13.879
21.686;6487.197;-13.806
21.786;6506.831;-13.722
21.886;6526.328;-13.647
21.986;6545.688;-13.582
22.086;6564.913;-13.501
22.186;6584.003;-13.443
22.286;6602.958;-13.391
22.386;6621.779;-13.342
22.486;6640.467;-13.309
22.586;6659.021;-13.272
22.686;6677.443;-13.215
22.786;6695.733;-13.149
22.886;6713.892;-13.084
22.986;6731.919;-13.023
23.086;6749.816;-12.945
23.186;6767.584;-12.891
23.286;6785.223;-12.842
23.386;6802.734;-12.774
23.486;6820.117;-12.739
23.586;6837.372;-12.705
23.686;6854.5;-12.681
23.786;6871.502;-12.658
23.886;6888.377;-12.606
23.986;6905.126;-12.543
24.086;6921.749;-12.484
24.186;6938.248;-12.427
24.286;6954.623;-12.375
24.386;6970.873;-12.316
24.486;6987.001;-12.257
24.586;7003.006;-12.218
24.686;7018.889;-12.192
24.786;7034.65;-12.159
24.886;7050.289;-12.139
24.986;7065.807;-12.101
25.086;7081.203;-12.064
25.186;7096.48;-12.028
25.286;7111.636;-11.969
25.386;7126.672;-11.923
25.486;7141.589;-11.886
25.586;7156.387;-11.85
25.686;7171.067;-11.82
25.786;7185.628;-11.78
25.886;7200.072;-11.757
25.986;7214.398;-11.73
26.086;7228.607;-11.694
26.186;7242.699;-11.65
26.286;7256.674;-11.619
26.386;7270.533;-11.582
26.486;7284.276;-11.556
26.586;7297.904;-11.524
26.686;7311.417;-11.481
26.786;7324.814;-11.442
26.886;7338.098;-11.408
26.986;7351.267;-11.371
27.086;7364.323;-11.342
27.186;7377.265;-11.317
27.286;7390.094;-11.28
27.386;7402.81;-11.256
27.486;7415.413;-11.236
27.586;7427.904;-11.23
27.686;7440.283;-11.213
27.786;7452.55;-11.199
27.886;7464.705;-11.174
27.986;7476.748;-11.156
28.086;7488.68;-11.123
28.186;7500.5;-11.093
28.286;7512.209;-11.076
28.386;7523.808;-11.053
28.486;7535.296;-11.012
28.586;7546.674;-10.981
28.686;7557.942;-10.951
28.786;7569.1;-10.919
28.886;7580.15;-10.876
28.986;7591.091;-10.845
29.086;7601.923;-10.818
29.186;7612.647;-10.793
29.286;7623.263;-10.777
29.386;7633.771;-10.753
29.486;7644.172;-10.737
29.586;7654.465;-10.734
29.686;7664.651;-10.726
29.786;7674.73;-10.72
29.886;7684.702;-10.707
29.986;7694.566;-10.693
30.086;7704.324;-10.687
30.186;7713.975;-10.666
30.286;7723.519;-10.642
30.386;7732.956;-10.626
30.486;7742.288;-10.602
30.586;7751.513;-10.593
30.686;7760.633;-10.583
30.786;7769.646;-10.554
30.886;7778.554;-10.525
30.986;7787.357;-10.501
31.086;7796.055;-10.482
31.186;7804.648;-10.453
31.286;7813.137;-10.44
31.386;7821.521;-10.415
31.486;7829.801;-10.395
31.586;7837.977;-10.376
31.686;7846.049;-10.363
31.786;7854.018;-10.352
31.886;7861.883;-10.328
31.986;7869.645;-10.305
32.086;7877.303;-10.29
32.186;7884.859;-10.294
32.286;7892.312;-10.283
32.386;7899.662;-10.264
32.486;7906.91;-10.256
32.586;7914.054;-10.237
32.686;7921.097;-10.231
32.786;7928.037;-10.223
32.886;7934.875;-10.215
32.986;7941.611;-10.197
33.086;7948.245;-10.185
33.186;7954.777;-10.18
33.286;7961.207;-10.166
33.386;7967.535;-10.15
33.486;7973.763;-10.145
33.586;7979.888;-10.147
33.686;7985.912;-10.141
33.786;7991.835;-10.134
33.886;7997.656;-10.137
33.986;8003.376;-10.124
34.086;8008.995;-10.1
34.186;8014.513;-10.097
34.286;8019.93;-10.083
34.386;8025.246;-10.073
34.486;8030.461;-10.062
34.586;8035.576;-10.046
34.686;8040.59;-10.037
34.786;8045.504;-10.026
34.886;8050.317;-10.017
34.986;8055.031;-10.005
35.086;8059.644;-9.984
35.186;8064.158;-9.967
35.286;8068.571;-9.949
35.386;8072.886;-9.936
35.486;8077.101;-9.929
35.586;8081.216;-9.919
35.686;8085.233;-9.899
35.786;8089.15;-9.893
35.886;8092.969;-9.889
35.986;8096.689;-9.875
36.086;8100.309;-9.868
36.186;8103.832;-9.851
36.286;8107.255;-9.84
36.386;8110.581;-9.831
36.486;8113.808;-9.828
